fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun,year_pib,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year_radianza
2016-09-30,xochimilco,CDMX,0.04606222339,2777401.3,129422.62108447892,2016,492,109351.63287671233,222.25941641608193,135.86636474876363,689.3835616438357,36.17534246575342,101.65547945205479,194.5438356164384,324.5917808219178,2016
2016-12-31,xochimilco,CDMX,0.04606222339,2827543.6,130232.21648055948,2016,492,103714.53972602739,210.80191001225077,123.04012943440391,634.6356164383562,36.90136986301369,103.18493150684932,186.48219178082186,301.63493150684934,2016
2017-03-31,xochimilco,CDMX,0.04606222339,3045539.9,130604.2386035466,2017,492,104096.6301369863,211.57851653859004,123.71530434970667,640.4547945205478,37.54520547945204,103.13082191780822,187.03150684931506,302.23150684931505,2017
2017-06-30,xochimilco,CDMX,0.04606222339,2684909.3,130658.85400604233,2017,492,111796.66849315068,227.2290010023388,141.25415824300748,696.6301369863014,33.35890410958903,100.65273972602739,199.20273972602737,333.21164383561637,2017
2017-09-30,xochimilco,CDMX,0.04606222339,2789710.7,131108.51227921993,2017,492,111902.11506849315,227.4433233099454,137.89463516252852,677.6301369863013,33.852054794520555,104.2904109589041,200.0328767123288,330.8438356164383,2017
2017-12-31,xochimilco,CDMX,0.04606222339,2824719.7,131699.30865953123,2017,492,105270.72328767125,213.96488473103906,124.16597973677098,612.9945205479452,34.47671232876713,104.24589041095889,189.92054794520547,306.14520547945204,2017
2018-06-30,xochimilco,CDMX,0.04606222339,2706598.0,133462.67593823644,2018,492,113739.86849315064,231.17859449827375,144.08164201204838,697.3643835616439,30.28767123287672,101.45890410958906,202.86301369863017,339.41780821917814,2018
2018-09-30,xochimilco,CDMX,0.04606222339,2895109.0,133924.17623326983,2018,492,113492.21095890414,230.6752255262279,142.04269593458017,710.7205479452055,30.153424657534238,103.23972602739724,204.2095890410959,336.241095890411,2018
2018-12-31,xochimilco,CDMX,0.04606222339,2898492.7,133804.8837113566,2018,492,107404.85753424655,218.3025559639158,130.0659061104665,667.2027397260273,32.04657534246576,103.10410958904109,194.28493150684935,313.1027397260274,2018
2019-03-31,xochimilco,CDMX,0.04606222339,3132839.1,133651.58229835896,2019,492,107524.76712328765,218.54627464082859,127.18249731605461,663.4328767123286,35.1013698630137,106.84794520547946,194.7520547945206,309.9143835616439,2019
2019-06-30,xochimilco,CDMX,0.04606222339,2679500.0,133110.96898309767,2019,492,114621.11232876709,232.96974050562426,144.33986540640592,739.4136986301369,31.452054794520546,104.0986301369863,205.6191780821918,339.095205479452,2019
2019-09-30,xochimilco,CDMX,0.04606222339,2895581.9,130979.25016483173,2019,492,112893.5424657534,229.45841964584028,136.25063374434478,717.1479452054795,33.28767123287672,109.53972602739728,203.90410958904116,328.0972602739726,2019
